#	Kernel	Build	Build_Time	Run	Run_Time	Run_Exit	Verify	Verify_Strategy	Stdout_First5
1	babelstream	PASS	1.498s	PASS	1.489s	0	PASS	stdout_pattern	Running kernels 100 times | Precision: float | Array size: 134.2 MB (=0.1 GB) | Total size: 402.7 MB (=0.4 GB) | Function    MBytes/sec  Min (sec)   Max         Average     
2	backprop	PASS	2.043s	PASS	0.09s	0	PASS	stdout_pattern	Random number generator seed: 7 | Input layer size : 65536 | Starting training kernel | Performing device offload | Device offloading time = 0.048843(s)
3	ccsd-trpdrv	PASS	3.661s	PASS	1.073s	0	PASS	stdout_pattern	Test driver for cbody with nocc=160, nvir=400, maxiter=1, nkpass=1 | This test requires 1.293060 GB of memory. | Stopping after 1 iterations... | Kernel timing: min=0.000271, max=0.000271, avg=0.000271 | OPS: dgemm_flops= 7.168e+08 dgemm_mops= 6.144e+06 tengy_ops= 1.504e+07
4	deredundancy	PASS	2.528s	PASS	13.615s	0	PASS	stdout_pattern	input:	../deredundancy-sycl/testData.fasta | output:	result.fasta | threshold:	0.95 | word length:	7 | reads count:	10000
5	feynman-kac	PASS	0.657s	TIMEOUT	600.118s	-1	FAIL	stdout_pattern	
6	fpc	PASS	0.635s	PASS	0.415s	0	PASS	stdout_pattern	fpc: average device offload time 0.002544 (s) | fpc2: average device offload time 0.002346 (s) | PASS
7	ga	PASS	0.704s	PASS	0.089s	0	PASS	stdout_pattern	Total kernel execution time 0.000273 (s) | PASS
8	keccaktreehash	PASS	2.462s	PASS	7.42s	0	PASS	stdout_pattern	Number of threads per block             NB_THREADS           64  | Number of thread blocks                 NB_THREADS_BLOCKS    64  |  | Input block size of Keccak (in Byte)    INPUT_BLOCK_SIZE_B   32  | Output block size of Keccak (in Byte)   OUTPUT_BLOCK_SIZE_B  32 
9	laplace3d	PASS	0.677s	PASS	0.279s	0	PASS	stdout_pattern	Grid dimensions: 128 x 128 x 128 | Result verification enabled  |  | dimGrid  = 4 16 1  | dimBlock = 32 8 1 
10	lulesh	PASS	3.311s	PASS	0.181s	0	PASS	stdout_pattern	Running problem size 45^3 per domain until completion | Num processors: 1 | Num threads (hardcoded): 2 | Total number of elements: 91125 | 
11	maxpool3d	PASS	0.613s	PASS	3.245s	0	PASS	stdout_pattern	input image width 2048 Hstride 2 | input image height 2048 Vstride 2 | output image width 1024 | output image height 1024 | Average kernel execution time: 0.004418 (s)
12	md5hash	PASS	1.079s	PASS	0.356s	0	PASS	stdout_pattern	Searching keys of length 7 bytes and 10 values per byte | |keyspace| = 10000000 (10M) |  | --- iteration 0 --- | Looking for random key:
13	pathfinder	PASS	0.835s	PASS	0.071s	0	PASS	exit_code	Total kernel execution time: 0.000061 (s) | Device offloading time = 0.048985 (s)
14	pso	PASS	0.901s	PASS	0.075s	0	PASS	stdout_pattern	Number of particles is 30 | Number of dimensions is 30 |  | Execute PSO on a device | Average kernel execution time 21.066540 (us)
15	rmsnorm	PASS	0.67s	PASS	0.062s	0	PASS	stdout_pattern	Checking block size 32. | Checking block size 64. | Checking block size 128. | Checking block size 256. | Checking block size 512.
16	secp256k1	PASS	126.192s	PASS	0.083s	0	PASS	stdout_pattern	Average kernel execution time: 0.002539 (s) | result = bbde464b6355ee6de6deba5ae860f8a66524937eee81dde224a0214efd795d09 | PASS
17	softmax-online	PASS	3.118s	PASS	19.096s	0	PASS	stdout_pattern	Using kernel baseline 1 | Largest output is: 0.999878 | Checking block size 32. | Checking block size 64. | Checking block size 128.
18	thomas	PASS	1.555s	PASS	1.541s	0	PASS	stdout_pattern	Average serial execution time: 103.030937 (ms) | Average kernel execution time: 2.782820 (ms) | Maximum error: 1.110223e-16
19	tissue	PASS	0.635s	PASS	12.253s	0	PASS	stdout_pattern	PASS | Average kernel execution time: 0.064317 (s)
20	tsp	PASS	0.657s	PASS	0.099s	0	PASS	stdout_pattern	2-opt TSP CUDA GPU code v2.3 | Copyright (c) 2014-2020, Texas State University. All rights reserved. | configuration: 493 cities, 24 restarts, ../tsp-cuda/d493.tsp input | thread block size: 128 | Average kernel time: 0.0171 s
21	bezier-surface	PASS	1.013s	PASS	0.081s	0	PASS	stdout_pattern	Read data from file input/control.txt | host execution time: 10 ms | kernel execution time: 1 ms | PASS
22	convolution3d	PASS	0.964s	PASS	0.09s	0	PASS	stdout_pattern	3D convolution (FP32) |  | ========== Warmup start ========== | input dimensions: C=1 Win=32 Hin=32 | output dimensions: M=6 Wout=28 Hout=28
23	crc64	PASS	1.42s	PASS	0.269s	0	FAIL	stdout_pattern	Running 1 tests with seed 1 | 1 34951314 pass pass | -nan MB/s
24	floydwarshall	PASS	0.61s	PASS	0.74s	0	PASS	stdout_pattern	Average kernel execution time 0.006570 (s) | PASS
25	gaussian	PASS	1.421s	PASS	0.076s	0	PASS	stdout_pattern	Workgroup size of kernel 1 = 256, Workgroup size of kernel 2= 16 X 16 | Create a square matrix (256 x 256) internally | Total kernel execution time 874 (us) | Device offloading time 50674 (us) | 
26	geglu	PASS	1.069s	PASS	18.674s	0	PASS	stdout_pattern	PASS | PASS | PASS | PASS | PASS
27	heat2d	PASS	0.562s	PASS	0.231s	0	PASS	stdout_pattern	Ly,Lx = 4096,4096 |  niter = 10 | Device: iters =       10, (Lx,Ly) =   4096,   4096, t =    298.5 usec/iter, BW = 449.641 GB/s, P = 337.230 Gflop/s | PASS
28	iso2dfd	PASS	1.024s	PASS	0.138s	0	PASS	stdout_pattern	Initializing ...  | Grid Sizes: 2048 2048 | Iterations: 10 |  | Computing wavefield in device ..
29	jenkins-hash	PASS	0.622s	PASS	0.759s	0	PASS	stdout_pattern	input string: Four score and seven years ago hash is cd628161 | Average kernel execution time : 0.002410 (s) | Verify the results computed on the device.. | PASS
30	knn	PASS	0.616s	PASS	7.279s	0	PASS	stdout_pattern	Number of reference points      :   4096 | Number of query points          :   4096 | Dimension of points             :   68 | Number of neighbors to consider :   20 | Processing kNN search           :
31	mandelbrot	PASS	1.014s	PASS	0.232s	0	FAIL	stdout_pattern	No Print() output due to size too large |        Serial time: 0.157257 s | Average parallel time: 1.41851 ms | Average kernel execution time: 0.124152 ms | Success
32	mis	PASS	0.647s	PASS	0.066s	0	PASS	exit_code	ECL-MIS v1.3 (main.cu) | Copyright 2017-2020 Texas State University | configuration: 124651 nodes and 387240 edges (internet.egr) | average degree: 3.11 edges per node | compute time: 0.000154 s
33	murmurhash3	PASS	0.646s	PASS	0.591s	0	FAIL	stdout_pattern	Average kernel execution time 0.004411 (s) | SUCCESS
34	myocyte	PASS	1.082s	PASS	0.09s	0	PASS	exit_code	Total kernel execution time 0.018142 (s) |  | Time spent in different stages of the application: | 0.000000051000 s, 0.000076403667 % : SETUP VARIABLES | 0.042338340000 s, 63.427536010742 % : ALLOCATE CPU MEMORY AND GPU MEMORY
35	nw	PASS	0.804s	PASS	1.955s	0	PASS	stdout_pattern	WG size of kernel = 16  | block width = 1024 | Total kernel execution time: 0.021946 (s) | PASS
36	perplexity	PASS	0.724s	PASS	0.237s	0	PASS	stdout_pattern	Average kernel execution time: 0.007938 (s) | PASS
37	popcount	PASS	0.654s	PASS	1.926s	0	PASS	exit_code	Average kernel execution time (pc1): 586.778000 (us) | Success | Average kernel execution time (pc2): 470.090000 (us) | Success | Average kernel execution time (pc3): 458.167000 (us)
38	sobol	FAIL	2.746s	UNKNOWN	0s	?	UNKNOWN	unknown	(no stdout)
39	stencil1d	FAIL	0.605s	UNKNOWN	0s	?	UNKNOWN	unknown	(no stdout)
40	triad	FAIL	2.549s	UNKNOWN	0s	?	UNKNOWN	unknown	(no stdout)
